SUBURB,incident_count,top_claim_type,top_claim_type_count,claim_type_breakdown,peak_month,peak_day_of_week,peak_hour,total_claim_cost,avg_claim_cost,anomalous_claims_excluded_from_cost,freq_normalized,cost_normalized,severity_score,saps_precinct_mapped,saps_precinct_name,saps_robbery_with_aggravating_circumstances_q1_2026,saps_robbery_with_aggravating_circumstances_trend,saps_burglary_at_residential_premises_q1_2026,saps_burglary_at_residential_premises_trend,saps_theft_of_motor_vehicle_and_motorcycle_q1_2026,saps_theft_of_motor_vehicle_and_motorcycle_trend,saps_carjacking_q1_2026,saps_carjacking_trend,saps_truck_hijacking_q1_2026,saps_truck_hijacking_trend,lat,lon
BARBEQUE DOWNS,7,Theft,6,Theft:6; Hijack:1,December,Tuesday,18,1167640.45,166805.78,0,0.019047619047619,0.1087387887430765,0.0639,False,,,,,,,,,,,,-26.0094291,28.0757557
UMBILO,10,Theft,10,Theft:10,February,Saturday,12,870433.63,87043.36,0,0.0476190476190476,0.0801604140441457,0.0639,False,,,,,,,,,,,,-29.8905556,30.9777778
MEREWENT,7,Theft,4,Theft:4; Hijack:3,December,Saturday,0,1159654.15,165664.88,0,0.019047619047619,0.1079708538960293,0.0635,False,,,,,,,,,,,,-29.9575859,30.97754
BROADACRES AH,8,Theft,6,Theft:6; Hijack:2,September,Wednesday,9,1056063.76,132007.97,0,0.0285714285714285,0.0980099620812709,0.0633,False,,,,,,,,,,,,-25.9935427,27.9877527
LANGENHOVEN PARK,11,Theft,11,Theft:11,November,Monday,15,754384.61,68580.42,0,0.0571428571428571,0.0690015436756806,0.0631,False,,,,,,,,,,,,-29.1002951,26.1598107
HONINGKLIP,6,Theft,4,Theft:4; Armed Robbery:1; Hijack:1,January,Saturday,14,1246188.46,249237.69,1,0.0095238095238095,0.1162916923461478,0.0629,False,,,,,,,,,,,,-26.0334644,27.7519158
WESTRIDGE,10,Theft,10,Theft:10,September,Wednesday,7,844007.56,84400.76,0,0.0476190476190476,0.0776193750118645,0.0626,False,,,,,,,,,,,,-29.7233333,31.0816667
MOKOPANE,15,Theft,15,Theft:15,October,Friday,0,345108.67,23007.24,0,0.0952380952380952,0.0296469919578664,0.0624,False,,,,,,,,,,,,-24.183333,29.016667
GLENDINNINGVALE,7,Theft,7,Theft:7,December,Saturday,4,1130347.79,161478.26,0,0.019047619047619,0.1051528561894432,0.0621,False,,,,,,,,,,,,-33.9516523,25.5912349
DAN PIENAAR,13,Theft,13,Theft:13,January,Friday,3,529175.84,40705.83,0,0.0761904761904762,0.0473462511943529,0.0618,False,,,,,,,,,,,,-29.0863889,26.2155556
CROFTDENE,8,Theft,8,Theft:8,September,Tuesday,20,1012287.85,126535.98,0,0.0285714285714285,0.0938006227438806,0.0612,False,,,,,,,,,,,,-29.9236686,30.8917727
ELANDIA,7,Theft,7,Theft:7,June,Friday,12,1108528.69,158361.24,0,0.019047619047619,0.1030548073782031,0.0611,False,,,,,,,,,,,,-26.8577778,26.6577778
ELDORADO PARK,10,Theft,9,Theft:9; Hijack:1,February,Saturday,13,808764.68,80876.47,0,0.0476190476190476,0.0742305421778486,0.0609,False,,,,,,,,,,,,-26.3085907,27.8805645
LYDENBURG,10,Theft,10,Theft:10,May,Friday,3,806069.44,80606.94,0,0.0476190476190476,0.0739713772682965,0.0608,False,,,,,,,,,,,,-25.099437,30.458881
ELSPARK,14,Theft,13,Theft:13; Burglary:1,October,Wednesday,6,407062.32,29075.88,0,0.0857142857142857,0.0356042395865258,0.0607,False,,,,,,,,,,,,-26.2680556,28.2316667
SHALLCROSS,10,Theft,9,Theft:9; Hijack:1,February,Saturday,15,804888.42,80488.84,0,0.0476190476190476,0.0738578144904069,0.0607,False,,,,,,,,,,,,-29.8852778,30.87
SOUTH BEACH,10,Theft,10,Theft:10,July,Saturday,16,796801.0,79680.1,0,0.0476190476190476,0.0730801562956602,0.0603,False,,,,,,,,,,,,-29.8620311,31.0374115
FLORIDA GLEN,9,Theft,9,Theft:9,March,Friday,12,892275.27,99141.7,0,0.0380952380952381,0.0822606302234351,0.0602,False,,,,,,,,,,,,-26.1627778,27.9405556
KIMBERLEY,13,Theft,12,Theft:12; Hijack:1,October,Thursday,14,494055.27,38004.25,0,0.0761904761904762,0.0439691792647787,0.0601,False,,,,,,,,,,,,-28.7383012,24.7642251
SANDHURST,11,Theft,10,Theft:10; Hijack:1,October,Thursday,13,686482.23,62407.48,0,0.0571428571428571,0.0624722868484343,0.0598,False,,,,,,,,,,,,-26.1077778,28.0441667
