SUBURB,incident_count,top_claim_type,top_claim_type_count,claim_type_breakdown,peak_month,peak_day_of_week,peak_hour,total_claim_cost,avg_claim_cost,anomalous_claims_excluded_from_cost,freq_normalized,cost_normalized,severity_score,lat,lon
FAUNA,87,Theft,84,Theft:84; Attempted Theft:1; Burglary:1; Armed Robbery:1,August,Wednesday,12,2759915.32,31723.16,0,0.780952380952381,0.2618464053803775,0.5214,-29.1677778,26.1880556
CAPE TOWN CITY CENTRE,93,Theft,88,Theft:88; Armed Robbery:2; Hijack:1; Attempted Theft:1; Accidental Damage:1,June,Thursday,16,1343332.83,14761.9,2,0.8380952380952381,0.12563275728453507,0.4819,-33.9252902,18.4185215
DURBANVILLE,75,Theft,74,Theft:74; Armed Robbery:1,April,Monday,12,3123511.79,42787.83,2,0.6666666666666666,0.2968085780481129,0.4817,-33.8402778,18.6494444
CLAREMONT,82,Theft,78,Theft:78; Armed Robbery:2; Windscreen/ Motor glass damage:1; Burglary:1,October,Saturday,0,2140231.49,26422.61,1,0.7333333333333333,0.20225976235311277,0.4678,-33.9847222,18.4625
PRETORIA CENTRAL,60,Theft,57,Theft:57; Armed Robbery:2; Hijack:1,February,Wednesday,18,4099814.05,68330.23,0,0.5238095238095238,0.39068640967288165,0.4572,-25.7518426,28.1899743
HAZELWOOD,29,Theft,29,Theft:29,December,Friday,17,7153398.39,246668.91,0,0.22857142857142856,0.6843084653286277,0.4564,-25.7763889,28.2586111
FOURWAYS,56,Theft,56,Theft:56,November,Sunday,17,4261937.47,76106.03,0,0.4857142857142857,0.40627563418742046,0.446,-26.004472,28.0042447
STELLENBOSCH,75,Theft,74,Theft:74; Armed Robbery:1,April,Friday,22,1837745.39,24503.27,0,0.6666666666666666,0.17317375044053868,0.4199,-33.934444,18.869167
PINELANDS,54,Theft,54,Theft:54,July,Friday,0,3725561.3,68991.88,0,0.4666666666666667,0.3546995661623415,0.4107,-33.9316667,18.5127778
BLAIRGOWRIE,41,Theft,40,Theft:40; Armed Robbery:1,April,Friday,14,4922288.61,120055.82,0,0.34285714285714286,0.4697727043817926,0.4063,-26.1111111,28.0075
OBSERVATORY,56,Theft,55,Theft:55; Armed Robbery:1,May,Friday,17,3152129.78,56288.03,0,0.4857142857142857,0.2995603844883226,0.3926,-33.9369444,18.4683333
WIERDAPARK,43,Theft,38,Theft:38; Burglary:3; Hijack:2,October,Saturday,6,4406463.0,102475.88,0,0.3619047619047619,0.42017270677108987,0.391,-25.8602778,28.1466667
NOORDHEUWEL,45,Theft,44,Theft:44; Armed Robbery:1,April,Tuesday,14,4133341.83,91852.04,0,0.38095238095238093,0.39391032445270846,0.3874,-26.0891667,27.8022222
FAERIE GLEN,32,Theft,32,Theft:32,October,Thursday,12,5324010.79,166375.34,0,0.2571428571428571,0.5084009127954195,0.3828,-25.7816666,28.3077777
PAARL,66,Theft,66,Theft:66,October,Saturday,0,1868886.56,28316.46,0,0.580952380952381,0.1761681770987934,0.3786,-33.7310282,18.9642117
MELVILLE,39,Theft,39,Theft:39,October,Sunday,15,4536499.39,116320.5,0,0.3238095238095238,0.4326765540176513,0.3782,-26.1751628,28.0108596
WELTEVREDENPARK,42,Theft,38,Theft:38; Burglary:3; Armed Robbery:1,November,Friday,14,4193212.2,99838.39,0,0.3523809523809524,0.3996672511181989,0.376,-26.1236111,27.9330556
LINDEN,37,Theft,36,Theft:36; Hijack:1,April,Tuesday,18,4379856.6,118374.5,0,0.3047619047619048,0.4176143278328487,0.3612,-26.1319444,27.9933333
NORTHMEAD,44,Theft,44,Theft:44,January,Friday,0,3662866.88,83246.97,0,0.37142857142857144,0.3486710886654518,0.36,-26.1533333,28.3091667
ROOIHUISKRAAL,42,Theft,40,Theft:40; Armed Robbery:2,April,Saturday,9,3745960.09,89189.53,0,0.3523809523809524,0.3566610429010812,0.3545,-25.8933333,28.1513889
SANDOWN,29,Theft,26,Theft:26; Hijack:2; Armed Robbery:1,August,Friday,12,5017274.52,173009.47,0,0.22857142857142856,0.47890621930954186,0.3537,-26.0919444,28.0658333
MORELETAPARK,44,Theft,42,Theft:42; Burglary:1; Attempted Theft:1,March,Wednesday,2,3371003.69,76613.72,0,0.37142857142857144,0.32060653885247903,0.346,-25.8172098,28.2863329
EDENVALE,38,Theft,33,Theft:33; Hijack:3; Burglary:2,December,Wednesday,0,3952526.05,104013.84,0,0.3142857142857143,0.3765237075765565,0.3454,-26.1366667,28.1511111
SUNNINGHILL,33,Theft,30,Theft:30; Hijack:2; Burglary:1,October,Thursday,19,4338227.72,131461.45,0,0.26666666666666666,0.4136114394370278,0.3401,-26.0352778,28.0758333
TABLE VIEW,57,Theft,56,Theft:56; Hijack:1,January,Tuesday,3,1941403.06,34059.7,0,0.49523809523809526,0.18314111166622699,0.3392,-33.8236111,18.4902778
CONSTANTIA KLOOF,20,Theft,18,Theft:18; Armed Robbery:2,March,Monday,13,5573195.8,278659.79,0,0.14285714285714285,0.5323616771720137,0.3376,-26.1447222,27.9097222
ARCADIA,24,Theft,19,Theft:19; Hijack:3; Burglary:2,September,Friday,10,5103927.58,212663.65,0,0.18095238095238095,0.48723847634687684,0.3341,-25.7456269,28.2102213
MENLYN,31,Theft,30,Theft:30; Attempted Theft:1,February,Tuesday,11,4318824.53,139316.92,0,0.24761904761904763,0.411745696133511,0.3297,-25.7841667,28.2755556
WAVERLEY,30,Theft,30,Theft:30,November,Saturday,16,4391806.67,146393.56,0,0.23809523809523808,0.4187634050247464,0.3284,-26.1347222,28.0791667
DURBAN NORTH,48,Theft,45,Theft:45; Armed Robbery:2; Hijack:1,April,Thursday,0,2606072.19,54293.17,0,0.4095238095238095,0.24705338476935546,0.3283,-29.780556,31.035833
PARKLANDS,56,Theft,54,Theft:54; Attempted Theft:1; Armed Robbery:1,December,Friday,20,1667649.77,29779.46,0,0.4857142857142857,0.15681794688594008,0.3213,-33.8127817,18.4996855
GREENSIDE,27,Theft,26,Theft:26; Burglary:1,December,Thursday,17,4535416.6,167978.39,0,0.20952380952380953,0.4325724366951072,0.321,-26.1547222,28.0127778
GLENWOOD,41,Theft,41,Theft:41,February,Tuesday,11,3138354.56,76545.23,0,0.34285714285714286,0.2982358072167775,0.3205,-33.896495,18.5356933
WOODMEAD,20,Theft,15,Theft:15; Hijack:2; Stolen and recovered:2; Armed Robbery:1,April,Wednesday,15,5005282.46,250264.12,0,0.14285714285714285,0.4777531045052045,0.3103,-26.0433333,28.0644444
MILNERTON,41,Theft,39,Theft:39; Burglary:2,March,Friday,19,2779335.2,67788.66,0,0.34285714285714286,0.26371375353627874,0.3033,-33.8794444,18.4963889
SCHOEMANSVILLE,17,Theft,17,Theft:17,November,Saturday,3,4845792.55,285046.62,0,0.11428571428571428,0.46241710915799555,0.2884,-25.7294444,27.8733333
PARKHURST,31,Theft,31,Theft:31,September,Saturday,21,3400707.06,109700.23,0,0.24761904761904763,0.3234627116606299,0.2855,-26.1397222,28.0188889
RYNFIELD,26,Theft,23,Theft:23; Armed Robbery:2; Burglary:1,July,Tuesday,13,3855284.24,154211.37,1,0.2,0.36717327314647774,0.2836,-26.1561111,28.3475
MUSGRAVE,32,Theft,27,Theft:27; Hijack:5,January,Sunday,13,3254381.34,101699.42,0,0.2571428571428571,0.3093925390641503,0.2833,-29.8488889,30.9961111
WATERKLOOF GLEN,18,Theft,17,Theft:17; Attempted Theft:1,May,Saturday,13,4561100.95,253394.5,0,0.12380952380952381,0.43504215451046047,0.2794,-25.7988889,28.2708333
BALLITO,27,Theft,26,Theft:26; Burglary:1,January,Saturday,19,3603208.26,133452.16,0,0.20952380952380953,0.3429345231439031,0.2762,-29.543864,31.214517
HILLCREST,35,Theft,34,Theft:34; Burglary:1,October,Saturday,2,2795580.13,79873.72,0,0.2857142857142857,0.2652758095365344,0.2755,-29.775555,30.765556
HEIDELBERG,31,Theft,23,Theft:23; Hijack:8,October,Friday,22,3190234.48,102910.79,0,0.24761904761904763,0.3032243999856465,0.2754,-34.089958,20.9585895
DIE HOEWES,26,Theft,26,Theft:26,October,Saturday,10,3619102.97,139196.27,0,0.2,0.3444629032063487,0.2722,-29.8003335,24.4208431
GARDENS,50,Theft,49,Theft:49; Windscreen/ Motor glass damage:1,May,Sunday,20,1189246.5,23784.93,0,0.42857142857142855,0.11081635140689369,0.2697,-33.9327778,18.4097222
LYNNWOOD,29,Theft,25,Theft:25; Hijack:1; Armed Robbery:1; Stolen and recovered:1; SOS:1,October,Wednesday,12,3261017.72,116464.92,1,0.22857142857142856,0.31003067029641646,0.2693,-25.7611111,28.2636111
FERNDALE,37,Theft,35,Theft:35; Hijack:1; Armed Robbery:1,June,Wednesday,14,2466557.71,66663.72,0,0.3047619047619048,0.23363815733491605,0.2692,-26.0847222,27.9894444
CONSTANTIA,34,Theft,34,Theft:34,May,Saturday,3,2739581.43,80575.92,0,0.2761904761904762,0.25989116920004074,0.268,-34.0283333,18.4155556
STAMFORD HILL,19,Theft,19,Theft:19,January,Sunday,17,4196026.08,220843.48,0,0.13333333333333333,0.39993782403774975,0.2666,-29.8309177,31.0316092
KENSINGTON,42,Theft,36,Theft:36; Hijack:2; Armed Robbery:2; Burglary:1; SOS:1,April,Sunday,0,1879159.59,46978.99,2,0.3523809523809524,0.1771559959538027,0.2648,-33.9144444,18.5069444
LONE HILL,25,Theft,23,Theft:23; Burglary:1; Hijack:1,January,Friday,0,3558242.84,142329.71,0,0.19047619047619047,0.3386108046597351,0.2645,-26.0097222,28.0261111
THREE RIVERS,24,Theft,23,Theft:23; Stolen and recovered:1,March,Friday,5,3438697.88,143279.08,0,0.18095238095238095,0.3271157768530088,0.254,-26.6547222,27.9780556
MUIZENBERG,32,Theft,31,Theft:31; Attempted Theft:1,May,Saturday,8,2601506.88,81297.09,0,0.2571428571428571,0.24661440042910115,0.2519,-34.0978389,18.4845708
WESTDENE,25,Theft,19,Theft:19; Hijack:5; Stolen and recovered:1,July,Friday,0,3214558.94,128582.36,0,0.19047619047619047,0.3055633555056751,0.248,-26.175,27.9908333
PARKVIEW,19,Theft,17,Theft:17; Armed Robbery:1; Windscreen/ Motor glass damage:1,February,Tuesday,14,3763099.41,198057.86,0,0.13333333333333333,0.358309100334773,0.2458,-26.1641667,28.0252778
KUILS RIVER,41,Theft,39,Theft:39; Burglary:1; Armed Robbery:1,March,Saturday,3,1560348.53,39008.71,1,0.34285714285714286,0.14650023263436301,0.2447,-34.0059584,18.6679469
HATFIELD,24,Theft,23,Theft:23; Armed Robbery:1,November,Tuesday,21,3219351.5,134139.65,0,0.18095238095238095,0.3060241914159921,0.2435,-25.7476402,28.2378733
KRUGERSDORP,38,Theft,36,Theft:36; Armed Robbery:1; Burglary:1,December,Wednesday,0,1828266.09,48112.27,0,0.3142857142857143,0.17226225390326685,0.2433,-26.095556,27.775556
PRETORIA NORTH,35,Theft,32,Theft:32; Armed Robbery:2; Hijack:1,May,Tuesday,13,2091012.0,59743.2,0,0.2857142857142857,0.19752698728519782,0.2416,-25.672735,28.1734163
KLOOF,34,Theft,32,Theft:32; Armed Robbery:1; Hijack:1,January,Saturday,12,2134005.42,62764.87,0,0.2761904761904762,0.20166108510417957,0.2389,-29.785833,30.825278
ROSEBANK,37,Theft,35,Theft:35; Hijack:2,August,Friday,22,1830012.03,50833.67,1,0.3047619047619048,0.17243013742465393,0.2386,-26.1429479,28.0397487
ERASMUSKLOOF,14,Theft,14,Theft:14,April,Wednesday,13,4084275.69,291733.98,0,0.08571428571428572,0.3891922949877379,0.2375,-25.8155556,28.2725
ORANJEZICHT,32,Theft,30,Theft:30; Hijack:1; Windscreen/ Motor glass damage:1,November,Friday,10,2298243.7,71820.12,0,0.2571428571428571,0.21745366720491308,0.2373,-33.9438889,18.415
TAMBOERSKLOOF,41,Theft,41,Theft:41,August,Wednesday,14,1400214.87,34151.58,0,0.34285714285714286,0.1311023365248754,0.237,-33.9283333,18.4063889
ILLOVO,19,Theft,19,Theft:19,January,Saturday,21,3504437.39,184444.07,0,0.13333333333333333,0.33343705961934683,0.2334,-26.1227778,28.0552778
CONSTANTIA PARK,17,Theft,17,Theft:17,October,Saturday,2,3673260.07,216074.12,0,0.11428571428571428,0.34967046168837634,0.232,-25.8080556,28.2822222
HELDERKRUIN,28,Theft,27,Theft:27; Burglary:1,October,Tuesday,0,2582764.55,92241.59,0,0.21904761904761905,0.2448122031259874,0.2319,-26.1269444,27.8669444
KENILWORTH,37,Theft,33,Theft:33; Burglary:2; Hijack:2,December,Friday,20,1673049.86,45217.56,0,0.3047619047619048,0.1573372007692391,0.231,-33.9941667,18.4683333
SUNWARD PARK,18,Theft,17,Theft:17; Hijack:1,November,Saturday,18,3461269.35,203604.08,1,0.12380952380952381,0.3292861709481567,0.2265,-26.2541667,28.2663889
OLYMPUS AH,18,Theft,15,Theft:15; Burglary:1; Hijack:1; Stolen and recovered:1,February,Monday,15,3444611.58,191367.31,0,0.12380952380952381,0.32768441768856255,0.2257,-23.6294444,29.0752778
MONTANA,24,Theft,23,Theft:23; Burglary:1,May,Saturday,13,2725678.52,113569.94,0,0.18095238095238095,0.2585543137019552,0.2198,-25.6769128,28.235305
HIGHVELD,15,Theft,15,Theft:15,October,Thursday,13,3590715.2,239381.01,0,0.09523809523809523,0.3417332339210777,0.2185,-28.0,27.0
GREEN POINT,37,Theft,36,Theft:36; Attempted Theft:1,April,Wednesday,18,1376653.85,37206.86,0,0.3047619047619048,0.12883679074147447,0.2168,-33.9042571,18.4059682
BOKSBURG,30,Theft,29,Theft:29; Hijack:1,December,Saturday,23,2059055.56,68635.19,0,0.23809523809523808,0.19445416709768026,0.2163,-26.2124639,28.2617471
WYNBERG,35,Theft,29,Theft:29; Hijack:4; Accidental Damage:1; Windscreen/ Motor glass damage:1,November,Tuesday,0,1560092.5,44574.07,0,0.2857142857142857,0.1464756136795417,0.2161,-34.0036249,18.4672507
CASHAN,11,Theft,11,Theft:11,June,Friday,20,3921291.42,356481.04,0,0.05714285714285714,0.3735202941295755,0.2153,-25.6872222,27.2380556
WOODSTOCK,40,Theft,37,Theft:37; Attempted Theft:1; Hijack:1; Burglary:1,October,Friday,9,1028098.65,25702.47,0,0.3333333333333333,0.0953209343124034,0.2143,-33.9305556,18.4472222
BEACON BAY NORTH,34,Theft,34,Theft:34,December,Saturday,0,1591896.58,46820.49,0,0.2761904761904762,0.1495337834590736,0.2129,-32.9529373,27.9393923
TERGNIET,41,Theft,41,Theft:41,June,Friday,13,897613.14,21893.0,0,0.34285714285714286,0.08277390124781532,0.2128,-34.0690569,22.1887723
NOORDWYK,24,Theft,21,Theft:21; Hijack:2; Stolen and recovered:1,July,Thursday,12,2551382.7,106307.61,0,0.18095238095238095,0.24179463351555372,0.2114,-25.9530556,28.1194444
PRETORIA WEST,29,Theft,26,Theft:26; Hijack:3,October,Thursday,15,1973804.26,68062.22,0,0.22857142857142856,0.18625669842932682,0.2074,-25.7494725,28.1568104
CRAIGHALL PARK,24,Theft,23,Theft:23; Armed Robbery:1,August,Friday,2,2441892.84,101745.53,0,0.18095238095238095,0.23126646917257707,0.2061,-26.1263889,28.0233333
ELDORAIGNE,26,Theft,22,Theft:22; Stolen and recovered:2; Burglary:1; Armed Robbery:1,May,Friday,15,2205734.94,88229.4,1,0.2,0.2085583464104122,0.2043,-25.8451458,28.157253
MONDEOR,26,Theft,21,Theft:21; Hijack:3; Armed Robbery:2,September,Thursday,18,2203151.93,88126.08,1,0.2,0.20830997314754066,0.2042,-26.2744042,27.9950154
RESERVOIR HILLS,23,Theft,23,Theft:23,November,Monday,7,2488760.41,108206.97,0,0.17142857142857143,0.23577309178873498,0.2036,-29.794942,30.9353627
GROENKLOOF,14,Theft,13,Theft:13; Hijack:1,July,Saturday,14,3379080.77,241362.91,0,0.08571428571428572,0.3213832027887684,0.2035,-25.7752778,28.2183333
MBOMBELA,33,Theft,33,Theft:33,July,Friday,8,1468308.93,44494.21,0,0.26666666666666666,0.1376500246346283,0.2022,-25.4729094,30.9772719
POTCHEFSTROOM,30,Theft,28,Theft:28; Hijack:1; Burglary:1,June,Saturday,20,1761988.54,58732.95,0,0.23809523809523808,0.16588923508079462,0.202,-26.707778,27.095833
LYTTELTON MANOR,23,Theft,22,Theft:22; Armed Robbery:1,July,Sunday,11,2452668.32,106637.75,0,0.17142857142857143,0.23230260187303406,0.2019,-25.8294444,28.2027778
CAMPS BAY,30,Theft,29,Theft:29; Burglary:1,January,Sunday,22,1717285.69,57242.86,0,0.23809523809523808,0.16159076441511439,0.1998,-33.9547736,18.3818524
FAIRLAND,21,Theft,19,Theft:19; Armed Robbery:2,May,Friday,14,2601191.75,123866.27,0,0.1523809523809524,0.2465840986237157,0.1995,-26.1336111,27.9444444
TZANEEN,39,Theft,39,Theft:39,January,Saturday,9,815925.56,20921.17,0,0.3238095238095238,0.07491910750691501,0.1994,-23.8319444,30.1611111
STELLENBOSCH CENTRAL,29,Theft,29,Theft:29,February,Friday,0,1801156.76,62108.85,0,0.22857142857142856,0.16965551496444653,0.1991,-33.9310387,18.8586652
STRUBENS VALLEY,20,Theft,18,Theft:18; Burglary:1; Hijack:1,December,Sunday,13,2685682.71,134284.14,0,0.14285714285714285,0.25470845564066563,0.1988,-26.1230494,27.9049454
ELARDUSPARK,29,Theft,26,Theft:26; Attempted Theft:2; Hijack:1,October,Monday,0,1754403.86,60496.68,0,0.22857142857142856,0.16515991861688747,0.1969,-25.8313889,28.2616667
ROODEPOORT,29,Theft,29,Theft:29,May,Wednesday,18,1742950.89,60101.75,0,0.22857142857142856,0.1640586408330344,0.1963,-26.156663,27.8855649
MONUMENT PARK,20,Theft,18,Theft:18; Remote jamming:1; Burglary:1,August,Monday,15,2612871.74,130643.59,0,0.14285714285714285,0.24770720586163092,0.1953,-33.5985799,22.2072644
WALMER,32,Theft,30,Theft:30; Hijack:1; Armed Robbery:1,September,Saturday,0,1419759.25,45798.69,1,0.2571428571428571,0.1329816561680057,0.1951,-33.9783333,25.5874001
BRACKENHURST,26,Theft,25,Theft:25; Burglary:1,May,Saturday,14,2012895.48,77419.06,0,0.2,0.19001557426063626,0.195,-26.3194444,28.1041667
FAR EAST BANK,35,Theft,31,Theft:31; Attempted Theft:2; Hijack:1; Armed Robbery:1,May,Sunday,14,1054467.92,30127.65,0,0.2857142857142857,0.09785651165412548,0.1918,-26.0967479,28.1138749
WESTVILLE,22,Theft,21,Theft:21; Armed Robbery:1,January,Friday,10,2332623.99,106028.36,0,0.1619047619047619,0.2207595563829538,0.1913,-29.8244444,30.9386111
VORNA VALLEY,20,Theft,18,Theft:18; Armed Robbery:2,January,Saturday,16,2502055.36,125102.77,0,0.14285714285714285,0.23705148796653314,0.19,-25.9983111,28.1073208
VOSLOORUS,15,Hijack,7,Hijack:7; Theft:7; Stolen and recovered:1,August,Thursday,21,2989696.72,199313.11,0,0.09523809523809523,0.2839413860677147,0.1896,-26.3563889,28.2083333
EMALAHLENI,18,Theft,16,Theft:16; Hijack:2,November,Friday,16,2686929.6,149273.87,0,0.12380952380952381,0.25482835224878636,0.1893,-25.8762409,29.2099962
MIDDELBURG,35,Theft,35,Theft:35,October,Monday,0,977997.14,27942.78,0,0.2857142857142857,0.09050334726725341,0.1881,-25.7678012,29.4555234
PAULSHOF,30,Theft,30,Theft:30,November,Wednesday,3,1458874.37,48629.15,0,0.23809523809523808,0.13674283014023703,0.1874,-26.0296389,28.0338194
PARKTOWN,21,Theft,21,Theft:21,August,Sunday,8,2252916.49,107281.74,0,0.1523809523809524,0.2130951602519531,0.1827,-26.1816667,28.0277778
LENASIA SOUTH,16,Theft,14,Theft:14; Hijack:2,December,Tuesday,5,2745714.32,171607.14,0,0.10476190476190476,0.26048088658407426,0.1826,-26.3919444,27.8530556
BENONI,29,Theft,28,Theft:28; Hijack:1,May,Saturday,10,1426784.75,49199.47,0,0.22857142857142856,0.13365720382686272,0.1811,-26.1930356,28.3082376
DAWNCLIFFE,19,Theft,18,Theft:18; Armed Robbery:1,March,Tuesday,6,2414737.15,127091.43,0,0.13333333333333333,0.22865527241730743,0.181,-29.8447222,30.9086111
ESSENWOOD,18,Theft,17,Theft:17; Stolen and recovered:1,November,Saturday,9,2482043.45,137891.3,0,0.12380952380952381,0.23512721226377076,0.1795,-29.8368674,31.0131537
WILRO PARK,22,Theft,20,Theft:20; Armed Robbery:1; Stolen and recovered:1,November,Saturday,6,2018696.92,96128.42,1,0.1619047619047619,0.19057342056481383,0.1762,-26.1184655,27.8500646
SECUNDA,30,Theft,30,Theft:30,May,Thursday,4,1212665.22,40422.17,0,0.23809523809523808,0.11306821411693965,0.1756,-26.516111,29.202778
SUNDOWNER,22,Theft,18,Theft:18; Armed Robbery:2; Attempted Theft:1; Burglary:1,December,Friday,15,1980600.55,94314.31,1,0.1619047619047619,0.18691020605133427,0.1744,-26.0755556,27.9372222
HOUGHTON ESTATE,13,Theft,12,Theft:12; Hijack:1,November,Wednesday,19,2851278.18,219329.09,0,0.0761904761904762,0.2706315404141091,0.1734,-26.1581938,28.0589807
WENDYWOOD,22,Theft,17,Theft:17; Hijack:3; Armed Robbery:1; Stolen and recovered:1,April,Thursday,0,1953107.03,88777.59,0,0.1619047619047619,0.184266524737586,0.1731,-26.0794444,28.0836111
GLENMARAIS,19,Theft,16,Theft:16; Hijack:1; Armed Robbery:1; Burglary:1,August,Tuesday,6,2233005.76,117526.62,0,0.13333333333333333,0.21118061366628169,0.1723,-26.0755556,28.2363889
GLENVISTA,27,Theft,25,Theft:25; Armed Robbery:1; Burglary:1,February,Wednesday,10,1426417.89,52830.29,0,0.20952380952380953,0.13362192784449442,0.1716,-26.2827778,28.0547222
VREDEHOEK,34,Theft,32,Theft:32; Burglary:1; Malicious Damage:1,September,Tuesday,0,724486.18,21308.42,0,0.2761904761904762,0.06612661457597245,0.1712,-33.9405556,18.4230556
PLUMSTEAD,31,Theft,31,Theft:31,December,Sunday,14,1019972.45,32902.34,0,0.24761904761904763,0.09453954716765871,0.1711,-34.02,18.4772222
DIE WILGERS,23,Theft,22,Theft:22; Hijack:1,December,Friday,0,1798181.91,78181.82,0,0.17142857142857143,0.16936946372923894,0.1704,-25.7619444,28.3116667
UMKOMAAS,13,Theft,12,Theft:12; Burglary:1,February,Saturday,11,2764658.02,212666.0,0,0.0761904761904762,0.2623024469264114,0.1692,-30.206389,30.796111
POLOKWANE CENTRAL,32,Theft,30,Theft:30; Burglary:2,August,Friday,2,873503.67,27296.99,0,0.2571428571428571,0.080455618418866,0.1688,-23.9020863,29.4443053
EMMARENTIA,14,Theft,12,Theft:12; Burglary:2,November,Tuesday,21,2642877.91,188776.99,0,0.08571428571428572,0.25059249486522717,0.1682,-26.1472222,27.9958333
CROYDON,22,Theft,18,Theft:18; Hijack:2; Armed Robbery:1; Burglary:1,March,Wednesday,15,1841283.32,83694.7,0,0.1619047619047619,0.17351394549123972,0.1677,-26.1284291,28.1977014
ATHOLL,8,Theft,8,Theft:8,February,Wednesday,14,3211538.91,401442.36,0,0.02857142857142857,0.3052729599187165,0.1669,-26.1113889,28.0680556
HENNOPSPARK,14,Theft,14,Theft:14,May,Wednesday,0,2593037.57,185216.97,0,0.08571428571428572,0.24580002101943146,0.1658,-25.8497222,28.1741667
BRAKPAN,22,Theft,21,Theft:21; Accidental Damage:1,August,Friday,11,1783317.51,81059.89,0,0.1619047619047619,0.1679401546949618,0.1649,-26.235278,28.37
BULWER,23,Theft,15,Theft:15; Hijack:3; Armed Robbery:2; Stolen and recovered:2; Windscreen/ Motor glass damage:1,July,Monday,4,1684736.34,80225.54,2,0.17142857142857143,0.1584609320629946,0.1649,-29.8052778,29.7672222
BELLVILLE,26,Theft,22,Theft:22; Burglary:2; Remote jamming:1; Armed Robbery:1,February,Friday,10,1319967.26,50767.97,0,0.2,0.12338600529373588,0.1617,-33.9064324,18.6270614
FARRARMERE,19,Theft,19,Theft:19,February,Wednesday,16,1971851.83,103781.68,0,0.13333333333333333,0.18606895954731384,0.1597,-26.164724,28.2938818
LENASIA,25,Theft,21,Theft:21; Hijack:4,December,Friday,13,1359536.5,54381.46,0,0.19047619047619047,0.12719084586661344,0.1588,-26.3194831,27.8246367
