STATION,District,Province,total_q1_2026_incidents,top_crime_type,top_crime_count,top_crime_trend,crime_breakdown,saps_only_severity_score,lat,lon
Actonville,Ekurhuleni District,Gauteng,36,Burglary at residential premises,16,Increased,Robbery with aggravating circumstances:14; Burglary at residential premises:16; Theft of motor vehicle and motorcycle:2; Carjacking:4; Truck hijacking:0,0.0503,-26.2121237,28.2998418
Vredendal,West Coast District,Western Cape,35,Burglary at residential premises,26,Increased,Robbery with aggravating circumstances:6; Burglary at residential premises:26; Theft of motor vehicle and motorcycle:3; Carjacking:0; Truck hijacking:0,0.0484,-31.6612447,18.510346
Springbok,Namakwa District,Northern Cape,35,Burglary at residential premises,31,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:31; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0484,-29.665732,17.8852618
Kenton On Sea,Sarah Baartman District,Eastern Cape,34,Burglary at residential premises,32,Decreased,Robbery with aggravating circumstances:2; Burglary at residential premises:32; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0464,-33.6804715,26.6670426
Willowvale,Amathole District,Eastern Cape,34,Burglary at residential premises,23,Increased,Robbery with aggravating circumstances:9; Burglary at residential premises:23; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.0464,-32.2668727,28.5065765
Nqweba,Sarah Baartman District,Eastern Cape,33,Burglary at residential premises,29,Decreased,Robbery with aggravating circumstances:4; Burglary at residential premises:29; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0445,-33.3989681,25.4441246
Bultfontein,Lejweleputswa District,Free State,33,Burglary at residential premises,19,Increased,Robbery with aggravating circumstances:13; Burglary at residential premises:19; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0445,-28.2934095,26.1529988
Volksrust,Gert Sibande District,Mpumalanga,32,Burglary at residential premises,28,Increased,Robbery with aggravating circumstances:3; Burglary at residential premises:28; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0426,-27.3735862,29.8868618
Ndevana,Buffalo City District,Eastern Cape,29,Burglary at residential premises,24,Decreased,Robbery with aggravating circumstances:5; Burglary at residential premises:24; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0368,-32.9195906,27.4901964
Batlharos,John Taolo Gaetsewe District,Northern Cape,29,Burglary at residential premises,24,Increased,Robbery with aggravating circumstances:5; Burglary at residential premises:24; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0368,-27.3050493,23.3414637
Ocean View,City of Cape Town District,Western Cape,29,Burglary at residential premises,15,Decreased,Robbery with aggravating circumstances:9; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:5; Carjacking:0; Truck hijacking:0,0.0368,-34.1441963,18.3463713
Bhisho,Buffalo City District,Eastern Cape,29,Burglary at residential premises,25,Decreased,Robbery with aggravating circumstances:3; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0368,-32.8502872,27.4409197
Maletswai,Joe Gqabi District,Eastern Cape,28,Burglary at residential premises,24,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:24; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0348,-30.6944277,26.691713
Zele,Buffalo City District,Eastern Cape,28,Burglary at residential premises,22,Decreased,Robbery with aggravating circumstances:6; Burglary at residential premises:22; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0348,-32.7706695,27.3758867
Adelaide,Amathole District,Eastern Cape,28,Burglary at residential premises,25,Increased,Robbery with aggravating circumstances:3; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0348,-32.7072246,26.2925309
Batho,Mangaung District,Free State,27,Robbery with aggravating circumstances,13,Increased,Robbery with aggravating circumstances:13; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0329,-29.1347399,26.2252403
Madikwe,Bojanala District,North West,27,Burglary at residential premises,23,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:23; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0329,-25.3515011,26.5245076
Danielskuil,ZF Mgcawu District,Northern Cape,25,Burglary at residential premises,22,Increased,Robbery with aggravating circumstances:3; Burglary at residential premises:22; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.029,-28.1825312,23.5429595
Prince Albert,Central Karoo District,Western Cape,24,Burglary at residential premises,24,Increased,Robbery with aggravating circumstances:0; Burglary at residential premises:24; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0271,-33.2193279,22.0284106
Emanguzi,Umkhanyakude District,KwaZulu-Natal,24,Burglary at residential premises,15,Decreased,Robbery with aggravating circumstances:9; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0271,-26.9978628,32.7434332
Ezibeleni,Chris Hani District,Eastern Cape,24,Burglary at residential premises,23,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:23; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0271,-31.9048746,26.9528828
De Aar,Pixley ka Seme District,Northern Cape,22,Burglary at residential premises,18,Decreased,Robbery with aggravating circumstances:3; Burglary at residential premises:18; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0232,-30.6608767,24.0052
Cacadu,Chris Hani District,Eastern Cape,21,Burglary at residential premises,13,Increased,Robbery with aggravating circumstances:7; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0213,-31.7015918,27.2362161
Bainsvlei,Mangaung District,Free State,21,Burglary at residential premises,15,Decreased,Robbery with aggravating circumstances:1; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:5; Carjacking:0; Truck hijacking:0,0.0213,-29.0659876,26.1282862
Tlokoeng,Joe Gqabi District,Eastern Cape,21,Burglary at residential premises,18,Decreased,Robbery with aggravating circumstances:2; Burglary at residential premises:18; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0213,-30.6903659,28.5100527
Nababeep,Namakwa District,Northern Cape,21,Burglary at residential premises,19,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:19; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0213,-29.5877254,17.7860716
Darling,West Coast District,Western Cape,21,Burglary at residential premises,19,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:19; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0213,-33.3761287,18.3818739
Madibogo,Ngaka Modiri Molema District,North West,20,Burglary at residential premises,16,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:16; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0193,-26.4221231,25.1507207
Allanridge,Lejweleputswa District,Free State,20,Burglary at residential premises,16,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:16; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0193,-27.7492346,26.648271
Boshof,Lejweleputswa District,Free State,19,Burglary at residential premises,17,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:17; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0174,-28.5403626,25.2396214
Lady Grey,Joe Gqabi District,Eastern Cape,19,Burglary at residential premises,18,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:18; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0174,-30.7118367,27.2093651
