STATION,District,Province,total_q1_2026_incidents,top_crime_type,top_crime_count,top_crime_trend,crime_breakdown,saps_only_severity_score
Dube,Tshwane District,Gauteng,17,Burglary at residential premises,9,Decreased,Robbery with aggravating circumstances:7; Burglary at residential premises:9; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0135
Cyferskuil,Bojanala District,North West,17,Burglary at residential premises,11,Increased,Robbery with aggravating circumstances:6; Burglary at residential premises:11; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0135
Vierfontein,Fezile Dabi District,Free State,17,Theft of motor vehicle and motorcycle,10,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:6; Theft of motor vehicle and motorcycle:10; Carjacking:0; Truck hijacking:0,0.0135
Sannieshof,Ngaka Modiri Molema District,North West,17,Burglary at residential premises,8,Decreased,Robbery with aggravating circumstances:7; Burglary at residential premises:8; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:1,0.0135
Msinsini,Ugu District,KwaZulu-Natal,17,Robbery with aggravating circumstances,11,Increased,Robbery with aggravating circumstances:11; Burglary at residential premises:6; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0135
Sunrise,Pixley ka Seme District,Northern Cape,17,Burglary at residential premises,15,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0135
Masemola,Sekhukhune District,Limpopo,17,Robbery with aggravating circumstances,9,Increased,Robbery with aggravating circumstances:9; Burglary at residential premises:7; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0135
De Rust,Garden Route District,Western Cape,16,Burglary at residential premises,16,Increased,Robbery with aggravating circumstances:0; Burglary at residential premises:16; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0116
Villiersdorp,Overberg District,Western Cape,16,Burglary at residential premises,15,Decreased,Robbery with aggravating circumstances:0; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0116
Laingsburg,Central Karoo District,Western Cape,16,Burglary at residential premises,16,Increased,Robbery with aggravating circumstances:0; Burglary at residential premises:16; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0116
Heidelberg(C),Garden Route District,Western Cape,16,Burglary at residential premises,15,Stabilized,Robbery with aggravating circumstances:1; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0116
Umsunduzi,eThekwini District,KwaZulu-Natal,16,Burglary at residential premises,10,Increased,Robbery with aggravating circumstances:5; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0116
Wartburg,Umgungundlovu District,KwaZulu-Natal,16,Burglary at residential premises,15,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0116
Malipsdrift,Capricorn District,Limpopo,16,Burglary at residential premises,9,Increased,Robbery with aggravating circumstances:6; Burglary at residential premises:9; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0116
Utrecht,Amajuba District,KwaZulu-Natal,16,Burglary at residential premises,14,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0116
Gilead,Waterberg District,Limpopo,16,Burglary at residential premises,8,Decreased,Robbery with aggravating circumstances:7; Burglary at residential premises:8; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0116
Wembezi,Uthukela District,KwaZulu-Natal,16,Burglary at residential premises,13,Decreased,Robbery with aggravating circumstances:3; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0116
Motswedi,Ngaka Modiri Molema District,North West,16,Burglary at residential premises,11,Stabilized,Robbery with aggravating circumstances:5; Burglary at residential premises:11; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0116
Koppies,Fezile Dabi District,Free State,16,Burglary at residential premises,13,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0116
Weenen,Uthukela District,KwaZulu-Natal,16,Robbery with aggravating circumstances,11,Increased,Robbery with aggravating circumstances:11; Burglary at residential premises:4; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0116
Jericho,Bojanala District,North West,16,Burglary at residential premises,15,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0116
Albertinia,Garden Route District,Western Cape,16,Burglary at residential premises,15,Stabilized,Robbery with aggravating circumstances:1; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0116
Zastron,Xhariep District,Free State,15,Burglary at residential premises,13,Decreased,Robbery with aggravating circumstances:2; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0097
Macleantown,Buffalo City District,Eastern Cape,15,Burglary at residential premises,14,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0097
Touws River,Cape Winelands District,Western Cape,15,Burglary at residential premises,14,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0097
Mashashane,Capricorn District,Limpopo,15,Burglary at residential premises,14,Decreased,Robbery with aggravating circumstances:1; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0097
Alexandria,Sarah Baartman District,Eastern Cape,15,Burglary at residential premises,10,Decreased,Robbery with aggravating circumstances:5; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0097
Tshaulu,Vhembe District,Limpopo,15,Burglary at residential premises,9,Decreased,Robbery with aggravating circumstances:5; Burglary at residential premises:9; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0097
Groblershoop,ZF Mgcawu District,Northern Cape,15,Burglary at residential premises,15,Increased,Robbery with aggravating circumstances:0; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0097
Ashton,Cape Winelands District,Western Cape,15,Burglary at residential premises,13,Stabilized,Robbery with aggravating circumstances:2; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0097
Thaba-Nchu,Mangaung District,Free State,15,Burglary at residential premises,9,Decreased,Robbery with aggravating circumstances:6; Burglary at residential premises:9; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0097
Leeu Gamka,Central Karoo District,Western Cape,15,Burglary at residential premises,15,Increased,Robbery with aggravating circumstances:0; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0097
Petrus Steyn,Thabo Mofutsanyana District,Free State,15,Burglary at residential premises,13,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0097
Kidds Beach,Buffalo City District,Eastern Cape,15,Burglary at residential premises,13,Decreased,Robbery with aggravating circumstances:2; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0097
Stella,Dr Ruth Segomotsi Mompati District,North West,15,Burglary at residential premises,12,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:12; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0097
Clanwilliam,West Coast District,Western Cape,15,Burglary at residential premises,15,Decreased,Robbery with aggravating circumstances:0; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0097
Kgomotso,Dr Ruth Segomotsi Mompati District,North West,15,Burglary at residential premises,11,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:11; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0097
Mzamba,Alfred Nzo District,Eastern Cape,15,Robbery with aggravating circumstances,6,Increased,Robbery with aggravating circumstances:6; Burglary at residential premises:4; Theft of motor vehicle and motorcycle:2; Carjacking:3; Truck hijacking:0,0.0097
Prieska,Pixley ka Seme District,Northern Cape,15,Burglary at residential premises,14,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0097
Burgersdorp,Joe Gqabi District,Eastern Cape,15,Burglary at residential premises,15,Decreased,Robbery with aggravating circumstances:0; Burglary at residential premises:15; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0097
Mothotlung,Bojanala District,North West,15,Burglary at residential premises,9,Increased,Robbery with aggravating circumstances:5; Burglary at residential premises:9; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0097
Coligny,Ngaka Modiri Molema District,North West,14,Burglary at residential premises,12,Decreased,Robbery with aggravating circumstances:2; Burglary at residential premises:12; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0077
Trichardt,Gert Sibande District,Mpumalanga,14,Burglary at residential premises,10,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:3; Carjacking:0; Truck hijacking:0,0.0077
Cofimvaba,Chris Hani District,Eastern Cape,14,Burglary at residential premises,11,Increased,Robbery with aggravating circumstances:3; Burglary at residential premises:11; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0077
Hankey,Sarah Baartman District,Eastern Cape,14,Burglary at residential premises,10,Decreased,Robbery with aggravating circumstances:4; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0077
Tweeling,Fezile Dabi District,Free State,14,Burglary at residential premises,8,Stabilized,Robbery with aggravating circumstances:5; Burglary at residential premises:8; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0077
Inchanga,eThekwini District,KwaZulu-Natal,14,Burglary at residential premises,8,Decreased,Robbery with aggravating circumstances:5; Burglary at residential premises:8; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0077
Molteno,Chris Hani District,Eastern Cape,14,Burglary at residential premises,14,Decreased,Robbery with aggravating circumstances:0; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0077
Dalasile,Chris Hani District,Eastern Cape,14,Burglary at residential premises,11,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:11; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:1,0.0077
Steytlerville,Sarah Baartman District,Eastern Cape,14,Burglary at residential premises,14,Increased,Robbery with aggravating circumstances:0; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0077
Paul Roux,Thabo Mofutsanyana District,Free State,14,Burglary at residential premises,14,Increased,Robbery with aggravating circumstances:0; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0077
Elandskraal,Sekhukhune District,Limpopo,14,Burglary at residential premises,7,Stabilized,Robbery with aggravating circumstances:6; Burglary at residential premises:7; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0077
Mbongolwane,King Cetshwayo District,KwaZulu-Natal,14,Robbery with aggravating circumstances,8,Increased,Robbery with aggravating circumstances:8; Burglary at residential premises:6; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0077
Genadendal,Overberg District,Western Cape,14,Burglary at residential premises,13,Decreased,Robbery with aggravating circumstances:1; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0077
Amangwe,Uthukela District,KwaZulu-Natal,14,Burglary at residential premises,9,Increased,Robbery with aggravating circumstances:5; Burglary at residential premises:9; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0077
Paterson,Sarah Baartman District,Eastern Cape,14,Burglary at residential premises,13,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0077
Patensie,Sarah Baartman District,Eastern Cape,14,Burglary at residential premises,14,Increased,Robbery with aggravating circumstances:0; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0077
Glencoe,Umzinyathi District,KwaZulu-Natal,14,Burglary at residential premises,8,Decreased,Robbery with aggravating circumstances:6; Burglary at residential premises:8; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0077
Devon,Ekurhuleni District,Gauteng,14,Robbery with aggravating circumstances,6,Decreased,Robbery with aggravating circumstances:6; Burglary at residential premises:5; Theft of motor vehicle and motorcycle:0; Carjacking:3; Truck hijacking:0,0.0077
Creighton,Harry Gwala District,KwaZulu-Natal,13,Burglary at residential premises,7,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:7; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.0058
Amersfoort,Gert Sibande District,Mpumalanga,13,Burglary at residential premises,12,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:12; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0058
Bergville,Uthukela District,KwaZulu-Natal,13,Burglary at residential premises,11,Decreased,Robbery with aggravating circumstances:1; Burglary at residential premises:11; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0058
Porterville,West Coast District,Western Cape,13,Burglary at residential premises,10,Decreased,Robbery with aggravating circumstances:3; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0058
Kenhardt,ZF Mgcawu District,Northern Cape,13,Burglary at residential premises,13,Stabilized,Robbery with aggravating circumstances:0; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0058
Wepener,Mangaung District,Free State,13,Burglary at residential premises,11,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:11; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0058
Vredefort,Fezile Dabi District,Free State,13,Burglary at residential premises,9,Decreased,Robbery with aggravating circumstances:3; Burglary at residential premises:9; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0058
Nemato,Sarah Baartman District,Eastern Cape,13,Burglary at residential premises,11,Decreased,Robbery with aggravating circumstances:2; Burglary at residential premises:11; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0058
Ladybrand,Thabo Mofutsanyana District,Free State,13,Burglary at residential premises,13,Decreased,Robbery with aggravating circumstances:0; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0058
Victoria West,Pixley ka Seme District,Northern Cape,13,Burglary at residential premises,12,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:12; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0058
Deben,John Taolo Gaetsewe District,Northern Cape,13,Burglary at residential premises,12,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:12; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0058
Groot Marico,Ngaka Modiri Molema District,North West,13,Burglary at residential premises,11,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:11; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0058
Still Bay,Garden Route District,Western Cape,13,Burglary at residential premises,11,Decreased,Robbery with aggravating circumstances:1; Burglary at residential premises:11; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0058
Marquard,Thabo Mofutsanyana District,Free State,13,Burglary at residential premises,13,Increased,Robbery with aggravating circumstances:0; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0058
Koffiefontein,Xhariep District,Free State,13,Burglary at residential premises,10,Stabilized,Robbery with aggravating circumstances:3; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0058
Matatiele,Alfred Nzo District,Eastern Cape,13,Burglary at residential premises,12,Decreased,Robbery with aggravating circumstances:1; Burglary at residential premises:12; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0058
Mbazwana,Umkhanyakude District,KwaZulu-Natal,13,Burglary at residential premises,9,Increased,Robbery with aggravating circumstances:3; Burglary at residential premises:9; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0058
Grootvlei,Gert Sibande District,Mpumalanga,13,Burglary at residential premises,4,Decreased,Robbery with aggravating circumstances:3; Burglary at residential premises:4; Theft of motor vehicle and motorcycle:3; Carjacking:3; Truck hijacking:0,0.0058
Babanango,Zululand District,KwaZulu-Natal,13,Burglary at residential premises,8,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:8; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0058
Hlobane,Zululand District,KwaZulu-Natal,13,Burglary at residential premises,13,Stabilized,Robbery with aggravating circumstances:0; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0058
Bedford,Amathole District,Eastern Cape,13,Burglary at residential premises,13,Increased,Robbery with aggravating circumstances:0; Burglary at residential premises:13; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0058
Mehlomnyama,Ugu District,KwaZulu-Natal,12,Robbery with aggravating circumstances,7,Increased,Robbery with aggravating circumstances:7; Burglary at residential premises:5; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0039
Besters,Uthukela District,KwaZulu-Natal,12,Burglary at residential premises,10,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0039
Ematsheni,Uthukela District,KwaZulu-Natal,12,Burglary at residential premises,7,Decreased,Robbery with aggravating circumstances:5; Burglary at residential premises:7; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0039
Khowa,Chris Hani District,Eastern Cape,12,Burglary at residential premises,8,Decreased,Robbery with aggravating circumstances:2; Burglary at residential premises:8; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.0039
Sterkstroom,Chris Hani District,Eastern Cape,12,Burglary at residential premises,12,Decreased,Robbery with aggravating circumstances:0; Burglary at residential premises:12; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0039
Ntabozuko,Buffalo City District,Eastern Cape,12,Burglary at residential premises,12,Stabilized,Robbery with aggravating circumstances:0; Burglary at residential premises:12; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0039
Maydon Wharf,Kwazulu-Natal: ports of entry: Sea,KwaZulu-Natal,12,Theft of motor vehicle and motorcycle,9,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:1; Theft of motor vehicle and motorcycle:9; Carjacking:0; Truck hijacking:0,0.0039
Thornhill,Sarah Baartman District,Eastern Cape,12,Burglary at residential premises,11,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:11; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0039
Bell,Amathole District,Eastern Cape,12,Burglary at residential premises,12,Increased,Robbery with aggravating circumstances:0; Burglary at residential premises:12; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0039
Ugie,Joe Gqabi District,Eastern Cape,12,Burglary at residential premises,9,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:9; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0039
Pampierstat,Frances Baard District,Northern Cape,12,Burglary at residential premises,10,Decreased,Robbery with aggravating circumstances:2; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0039
Hertzogville,Lejweleputswa District,Free State,12,Burglary at residential premises,10,Decreased,Robbery with aggravating circumstances:2; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0039
Laaiplek,West Coast District,Western Cape,11,Burglary at residential premises,10,Decreased,Robbery with aggravating circumstances:0; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0019
Carnarvon,Pixley ka Seme District,Northern Cape,11,Burglary at residential premises,10,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0019
Kareedouw,Sarah Baartman District,Eastern Cape,11,Burglary at residential premises,9,Decreased,Robbery with aggravating circumstances:2; Burglary at residential premises:9; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0019
Prince Alfred Hamlet,Cape Winelands District,Western Cape,11,Burglary at residential premises,8,Increased,Robbery with aggravating circumstances:3; Burglary at residential premises:8; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0019
Bedwang,Bojanala District,North West,11,Burglary at residential premises,9,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:9; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0019
Mkhuze,Umkhanyakude District,KwaZulu-Natal,11,Burglary at residential premises,6,Stabilized,Robbery with aggravating circumstances:4; Burglary at residential premises:6; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0019
Citrusdal,West Coast District,Western Cape,11,Burglary at residential premises,9,Decreased,Robbery with aggravating circumstances:2; Burglary at residential premises:9; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0019
Wrenchville,John Taolo Gaetsewe District,Northern Cape,11,Burglary at residential premises,9,Decreased,Robbery with aggravating circumstances:2; Burglary at residential premises:9; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0019
Augrabies,ZF Mgcawu District,Northern Cape,11,Burglary at residential premises,10,Increased,Robbery with aggravating circumstances:1; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0019
Nondweni,Umzinyathi District,KwaZulu-Natal,11,Burglary at residential premises,6,Increased,Robbery with aggravating circumstances:5; Burglary at residential premises:6; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0019
Dirkiesdorp,Gert Sibande District,Mpumalanga,11,Burglary at residential premises,7,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:7; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0019
Morgenzon Transvaal,Gert Sibande District,Mpumalanga,11,Burglary at residential premises,11,Increased,Robbery with aggravating circumstances:0; Burglary at residential premises:11; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0019
Schweizer-Reneke,Dr Ruth Segomotsi Mompati District,North West,11,Burglary at residential premises,6,Decreased,Robbery with aggravating circumstances:5; Burglary at residential premises:6; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0019
Makgobistad,Ngaka Modiri Molema District,North West,11,Burglary at residential premises,6,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:6; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0019
Sawoti,Ugu District,KwaZulu-Natal,11,Robbery with aggravating circumstances,9,Increased,Robbery with aggravating circumstances:9; Burglary at residential premises:1; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0019
Rawsonville,Cape Winelands District,Western Cape,11,Burglary at residential premises,11,Decreased,Robbery with aggravating circumstances:0; Burglary at residential premises:11; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0019
Murraysburg,Central Karoo District,Western Cape,11,Burglary at residential premises,10,Decreased,Robbery with aggravating circumstances:0; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0019
Middelburg(EC),Chris Hani District,Eastern Cape,11,Burglary at residential premises,7,Decreased,Robbery with aggravating circumstances:4; Burglary at residential premises:7; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0019
Rooiberg,Waterberg District,Limpopo,11,Burglary at residential premises,10,Increased,Robbery with aggravating circumstances:0; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0019
Clarens,Thabo Mofutsanyana District,Free State,11,Burglary at residential premises,10,Increased,Robbery with aggravating circumstances:0; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0019
Intsikeni,Harry Gwala District,KwaZulu-Natal,11,Burglary at residential premises,7,Increased,Robbery with aggravating circumstances:4; Burglary at residential premises:7; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0019
Windsorton,Frances Baard District,Northern Cape,10,Burglary at residential premises,6,Decreased,Robbery with aggravating circumstances:4; Burglary at residential premises:6; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0
Xamdeboo,Sarah Baartman District,Eastern Cape,10,Burglary at residential premises,9,Decreased,Robbery with aggravating circumstances:1; Burglary at residential premises:9; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0
Klipplaat,Sarah Baartman District,Eastern Cape,10,Burglary at residential premises,10,Increased,Robbery with aggravating circumstances:0; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0
Hlabisa,Umkhanyakude District,KwaZulu-Natal,10,Robbery with aggravating circumstances,4,Stabilized,Robbery with aggravating circumstances:4; Burglary at residential premises:4; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.0
Dududu,Ugu District,KwaZulu-Natal,10,Burglary at residential premises,9,Stabilized,Robbery with aggravating circumstances:1; Burglary at residential premises:9; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0
Storms River,Sarah Baartman District,Eastern Cape,10,Burglary at residential premises,7,Increased,Robbery with aggravating circumstances:3; Burglary at residential premises:7; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0
Clocolan,Thabo Mofutsanyana District,Free State,10,Burglary at residential premises,9,Decreased,Robbery with aggravating circumstances:1; Burglary at residential premises:9; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0
Amsterdam,Gert Sibande District,Mpumalanga,10,Burglary at residential premises,9,Decreased,Robbery with aggravating circumstances:1; Burglary at residential premises:9; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0
Delportshoop,Frances Baard District,Northern Cape,10,Burglary at residential premises,9,Decreased,Robbery with aggravating circumstances:1; Burglary at residential premises:9; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0
Cramond,Umgungundlovu District,KwaZulu-Natal,10,Burglary at residential premises,9,Decreased,Robbery with aggravating circumstances:1; Burglary at residential premises:9; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0
Palmietfontein,Joe Gqabi District,Eastern Cape,10,Burglary at residential premises,10,Increased,Robbery with aggravating circumstances:0; Burglary at residential premises:10; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0
