STATION,District,Province,total_q1_2026_incidents,top_crime_type,top_crime_count,top_crime_trend,crime_breakdown,saps_only_severity_score
Itsoseng,Ngaka Modiri Molema District,North West,40,Burglary at residential premises,20,Decreased,Robbery with aggravating circumstances:17; Burglary at residential premises:20; Theft of motor vehicle and motorcycle:2; Carjacking:1; Truck hijacking:0,0.058
Ngqamakhwe,Amathole District,Eastern Cape,40,Burglary at residential premises,26,Increased,Robbery with aggravating circumstances:11; Burglary at residential premises:26; Theft of motor vehicle and motorcycle:2; Carjacking:1; Truck hijacking:0,0.058
Bhityi,OR Tambo District,Eastern Cape,40,Robbery with aggravating circumstances,19,Decreased,Robbery with aggravating circumstances:19; Burglary at residential premises:16; Theft of motor vehicle and motorcycle:2; Carjacking:2; Truck hijacking:1,0.058
Lulekani,Mopani District,Limpopo,39,Burglary at residential premises,22,Decreased,Robbery with aggravating circumstances:17; Burglary at residential premises:22; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0561
Caledon,Overberg District,Western Cape,39,Burglary at residential premises,36,Decreased,Robbery with aggravating circumstances:3; Burglary at residential premises:36; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0561
Nsuze,Ilembe District,KwaZulu-Natal,39,Robbery with aggravating circumstances,15,Increased,Robbery with aggravating circumstances:15; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:3; Carjacking:7; Truck hijacking:0,0.0561
Lutzville,West Coast District,Western Cape,39,Burglary at residential premises,30,Increased,Robbery with aggravating circumstances:9; Burglary at residential premises:30; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0561
Bethlehem,Thabo Mofutsanyana District,Free State,38,Burglary at residential premises,21,Decreased,Robbery with aggravating circumstances:12; Burglary at residential premises:21; Theft of motor vehicle and motorcycle:4; Carjacking:1; Truck hijacking:0,0.0542
Msobomvu,Amathole District,Eastern Cape,38,Burglary at residential premises,20,Decreased,Robbery with aggravating circumstances:14; Burglary at residential premises:20; Theft of motor vehicle and motorcycle:2; Carjacking:2; Truck hijacking:0,0.0542
Klapmuts,Cape Winelands District,Western Cape,38,Burglary at residential premises,25,Increased,Robbery with aggravating circumstances:11; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:1,0.0542
Navalsig,Mangaung District,Free State,38,Burglary at residential premises,25,Decreased,Robbery with aggravating circumstances:8; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:5; Carjacking:0; Truck hijacking:0,0.0542
Apel,Sekhukhune District,Limpopo,38,Burglary at residential premises,23,Increased,Robbery with aggravating circumstances:14; Burglary at residential premises:23; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0542
Botlokwa,Capricorn District,Limpopo,37,Burglary at residential premises,26,Increased,Robbery with aggravating circumstances:10; Burglary at residential premises:26; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0522
Huhudi,Dr Ruth Segomotsi Mompati District,North West,37,Burglary at residential premises,26,Decreased,Robbery with aggravating circumstances:10; Burglary at residential premises:26; Theft of motor vehicle and motorcycle:0; Carjacking:1; Truck hijacking:0,0.0522
Humansdorp,Sarah Baartman District,Eastern Cape,37,Burglary at residential premises,24,Decreased,Robbery with aggravating circumstances:12; Burglary at residential premises:24; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0522
Senwabarwana,Capricorn District,Limpopo,37,Burglary at residential premises,25,Decreased,Robbery with aggravating circumstances:10; Burglary at residential premises:25; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.0522
Namakgale,Mopani District,Limpopo,37,Burglary at residential premises,29,Decreased,Robbery with aggravating circumstances:7; Burglary at residential premises:29; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0522
Ngqeleni,OR Tambo District,Eastern Cape,37,Burglary at residential premises,22,Increased,Robbery with aggravating circumstances:13; Burglary at residential premises:22; Theft of motor vehicle and motorcycle:2; Carjacking:0; Truck hijacking:0,0.0522
Pudimoe,Dr Ruth Segomotsi Mompati District,North West,36,Burglary at residential premises,34,Increased,Robbery with aggravating circumstances:2; Burglary at residential premises:34; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0503
Ntabankulu,Alfred Nzo District,Eastern Cape,36,Burglary at residential premises,29,Increased,Robbery with aggravating circumstances:5; Burglary at residential premises:29; Theft of motor vehicle and motorcycle:1; Carjacking:1; Truck hijacking:0,0.0503
Carolina,Gert Sibande District,Mpumalanga,36,Burglary at residential premises,23,Increased,Robbery with aggravating circumstances:11; Burglary at residential premises:23; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:1,0.0503
The Barrage,Sedibeng District,Gauteng,36,Burglary at residential premises,14,Decreased,Robbery with aggravating circumstances:10; Burglary at residential premises:14; Theft of motor vehicle and motorcycle:2; Carjacking:1; Truck hijacking:9,0.0503
De Doorns,Cape Winelands District,Western Cape,36,Burglary at residential premises,27,Decreased,Robbery with aggravating circumstances:9; Burglary at residential premises:27; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0503
Actonville,Ekurhuleni District,Gauteng,36,Burglary at residential premises,16,Increased,Robbery with aggravating circumstances:14; Burglary at residential premises:16; Theft of motor vehicle and motorcycle:2; Carjacking:4; Truck hijacking:0,0.0503
Modder River,Frances Baard District,Northern Cape,36,Burglary at residential premises,32,Decreased,Robbery with aggravating circumstances:4; Burglary at residential premises:32; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0503
Joubertina,Sarah Baartman District,Eastern Cape,36,Burglary at residential premises,33,Decreased,Robbery with aggravating circumstances:3; Burglary at residential premises:33; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:0,0.0503
Vuwani,Vhembe District,Limpopo,36,Burglary at residential premises,27,Decreased,Robbery with aggravating circumstances:8; Burglary at residential premises:27; Theft of motor vehicle and motorcycle:1; Carjacking:0; Truck hijacking:0,0.0503
Vaalbank,Nkangala District,Mpumalanga,35,Burglary at residential premises,24,Increased,Robbery with aggravating circumstances:10; Burglary at residential premises:24; Theft of motor vehicle and motorcycle:0; Carjacking:0; Truck hijacking:1,0.0484
Vredendal,West Coast District,Western Cape,35,Burglary at residential premises,26,Increased,Robbery with aggravating circumstances:6; Burglary at residential premises:26; Theft of motor vehicle and motorcycle:3; Carjacking:0; Truck hijacking:0,0.0484
