SUBURB,incident_count,top_claim_type,top_claim_type_count,claim_type_breakdown,peak_month,peak_day_of_week,peak_hour,total_claim_cost,avg_claim_cost,anomalous_claims_excluded_from_cost,freq_normalized,cost_normalized,severity_score
MELKBOSSTRAND,12,Theft,11,Theft:11; Burglary:1,December,Saturday,23,673753.29,56146.11,0,0.06666666666666667,0.061248316224744706,0.064
BARBEQUE DOWNS,7,Theft,6,Theft:6; Hijack:1,December,Tuesday,18,1167640.45,166805.78,0,0.01904761904761905,0.1087387887430765,0.0639
UMBILO,10,Theft,10,Theft:10,February,Saturday,12,870433.63,87043.36,0,0.047619047619047616,0.08016041404414571,0.0639
BRAAMPARK,5,Theft,4,Theft:4; Hijack:1,May,Saturday,11,1361824.92,272364.98,0,0.0,0.12741089237910103,0.0637
MEREWENT,7,Theft,4,Theft:4; Hijack:3,December,Saturday,0,1159654.15,165664.88,0,0.01904761904761905,0.10797085389602934,0.0635
BROADACRES AH,8,Theft,6,Theft:6; Hijack:2,September,Wednesday,9,1056063.76,132007.97,0,0.02857142857142857,0.09800996208127095,0.0633
LANGENHOVEN PARK,11,Theft,11,Theft:11,November,Monday,15,754384.61,68580.42,0,0.05714285714285714,0.06900154367568069,0.0631
HONINGKLIP,6,Theft,4,Theft:4; Armed Robbery:1; Hijack:1,January,Saturday,14,1246188.46,249237.69,1,0.009523809523809525,0.1162916923461478,0.0629
WESTRIDGE,10,Theft,10,Theft:10,September,Wednesday,7,844007.56,84400.76,0,0.047619047619047616,0.07761937501186451,0.0626
ROOIHUISKRAAL NORTH,6,Theft,3,Theft:3; Armed Robbery:1; Hijack:1; Attempted Hijack:1,December,Friday,12,1235139.49,247027.9,1,0.009523809523809525,0.11522926179796171,0.0624
MOKOPANE,15,Theft,15,Theft:15,October,Friday,0,345108.67,23007.24,0,0.09523809523809523,0.029646991957866426,0.0624
GLENDINNINGVALE,7,Theft,7,Theft:7,December,Saturday,4,1130347.79,161478.26,0,0.01904761904761905,0.10515285618944323,0.0621
DAN PIENAAR,13,Theft,13,Theft:13,January,Friday,3,529175.84,40705.83,0,0.0761904761904762,0.04734625119435297,0.0618
CROFTDENE,8,Theft,8,Theft:8,September,Tuesday,20,1012287.85,126535.98,0,0.02857142857142857,0.09380062274388067,0.0612
ELANDIA,7,Theft,7,Theft:7,June,Friday,12,1108528.69,158361.24,0,0.01904761904761905,0.10305480737820315,0.0611
ELDORADO PARK,10,Theft,9,Theft:9; Hijack:1,February,Saturday,13,808764.68,80876.47,0,0.047619047619047616,0.07423054217784861,0.0609
LYDENBURG,10,Theft,10,Theft:10,May,Friday,3,806069.44,80606.94,0,0.047619047619047616,0.07397137726829657,0.0608
ELSPARK,14,Theft,13,Theft:13; Burglary:1,October,Wednesday,6,407062.32,29075.88,0,0.08571428571428572,0.03560423958652587,0.0607
SHALLCROSS,10,Theft,9,Theft:9; Hijack:1,February,Saturday,15,804888.42,80488.84,0,0.047619047619047616,0.07385781449040699,0.0607
SOUTH BEACH,10,Theft,10,Theft:10,July,Saturday,16,796801.0,79680.1,0,0.047619047619047616,0.07308015629566021,0.0603
FLORIDA GLEN,9,Theft,9,Theft:9,March,Friday,12,892275.27,99141.7,0,0.0380952380952381,0.08226063022343512,0.0602
KIMBERLEY,13,Theft,12,Theft:12; Hijack:1,October,Thursday,14,494055.27,38004.25,0,0.0761904761904762,0.04396917926477872,0.0601
SANDHURST,11,Theft,10,Theft:10; Hijack:1,October,Thursday,13,686482.23,62407.48,0,0.05714285714285714,0.06247228684843432,0.0598
