SUBURB,incident_count,top_claim_type,top_claim_type_count,claim_type_breakdown,peak_month,peak_day_of_week,peak_hour,total_claim_cost,avg_claim_cost,anomalous_claims_excluded_from_cost,freq_normalized,cost_normalized,severity_score
SEA COW LAKE,5,Theft,4,Theft:4; Hijack:1,April,Sunday,16,349072.78,69814.56,0,0.0,0.030028166995935135,0.015
KLERKSDORP INDUSTRIAL,5,Theft,5,Theft:5,December,Monday,6,349285.54,69857.11,0,0.0,0.030048625257966075,0.015
GEELHOUTPARK,5,Theft,5,Theft:5,December,Wednesday,1,348333.7,69666.74,0,0.0,0.029957099632230335,0.015
ERMELO,6,Theft,6,Theft:6,March,Friday,11,247730.0,41288.33,0,0.009523809523809525,0.02028339754592281,0.0149
ROWALLAN PARK,7,Theft,7,Theft:7,June,Friday,20,147785.79,21112.26,0,0.01904761904761905,0.010673109725580646,0.0149
PYRAMID,6,Theft,6,Theft:6,September,Tuesday,6,246198.66,41033.11,0,0.009523809523809525,0.02013614921457072,0.0148
CAPE FARMS,5,Theft,5,Theft:5,April,Wednesday,14,340118.24,68023.65,0,0.0,0.029167129556159813,0.0146
BOKSBURG SOUTH,7,Theft,4,Theft:4; Accidental Loss:1; Hijack:1; Armed Robbery:1,October,Tuesday,17,140071.75,23345.29,1,0.01904761904761905,0.009931354453738162,0.0145
DANA BAY,7,Theft,7,Theft:7,October,Wednesday,5,138796.24,19828.03,0,0.01904761904761905,0.009808705845902602,0.0144
MITCHELLS PLAIN CENTRE,7,Theft,7,Theft:7,September,Monday,18,134567.73,19223.96,0,0.01904761904761905,0.009402107022907304,0.0142
ONTDEKKERSPARK,5,Theft,5,Theft:5,January,Friday,15,331380.89,66276.18,0,0.0,0.028326976351816444,0.0142
BOOYSENS,5,Theft,5,Theft:5,October,Wednesday,13,329032.65,65806.53,0,0.0,0.028101177756067474,0.0141
CRESTA,7,Theft,7,Theft:7,May,Thursday,16,130772.95,18681.85,0,0.01904761904761905,0.00903721416903535,0.014
TYGER VALLEY,7,Theft,7,Theft:7,May,Wednesday,20,129807.66,18543.95,0,0.01904761904761905,0.008944395238052773,0.014
SUNNYDALE,5,Theft,5,Theft:5,December,Sunday,5,325043.57,65008.71,0,0.0,0.027717601689596284,0.0139
BERGSIG,7,Theft,7,Theft:7,December,Friday,4,128095.57,18299.37,0,0.01904761904761905,0.008779766615000675,0.0139
EERSTE RIVER,7,Theft,7,Theft:7,August,Tuesday,11,124225.67,17746.52,0,0.01904761904761905,0.00840765048305124,0.0137
SANDTON COUNTRY CLUB ESTATE,7,Theft,7,Theft:7,July,Thursday,9,122140.27,17448.61,0,0.01904761904761905,0.008207125668051537,0.0136
WEST BEACH,5,Theft,5,Theft:5,October,Monday,15,308957.54,61791.51,0,0.0,0.026170824960992805,0.0131
LENTEGEUR,5,Theft,4,Theft:4; Hijack:1,August,Monday,10,307303.6,61460.72,0,0.0,0.026011787839807128,0.013
STRUIS BAY,7,Theft,7,Theft:7,December,Tuesday,21,107166.63,15309.52,0,0.01904761904761905,0.006767312495100463,0.0129
LOTUS PARK,7,Theft,6,Theft:6; Hijack:1,May,Tuesday,4,107119.27,15302.75,0,0.01904761904761905,0.006762758522127229,0.0129
GROBLERSDAL,7,Theft,7,Theft:7,September,Saturday,12,102733.72,14676.25,0,0.01904761904761905,0.006341059278614255,0.0127
MAMELODI EAST OPEN AREA,6,Theft,6,Theft:6,October,Wednesday,12,200583.8,33430.63,0,0.009523809523809525,0.015749982837502823,0.0126
SOUTHRIDGE,7,Theft,6,Theft:6; Burglary:1,May,Thursday,13,98088.91,14012.7,0,0.01904761904761905,0.00589443049470768,0.0125
BONNIE DOON,7,Theft,7,Theft:7,October,Thursday,10,93511.9,13358.84,0,0.01904761904761905,0.00545432112312343,0.0123
RICHMOND,7,Theft,7,Theft:7,March,Wednesday,10,95203.81,13600.54,0,0.01904761904761905,0.005617009307522658,0.0123
NORTHDENE,6,Theft,5,Theft:5; Malicious Damage:1,July,Tuesday,19,188632.41,31438.73,0,0.009523809523809525,0.014600778718993518,0.0121
VIRGINIA,6,Theft,6,Theft:6,July,Monday,8,189261.29,31543.55,0,0.009523809523809525,0.014661249633761435,0.0121
HEATHER PARK,6,Theft,6,Theft:6,November,Sunday,9,185963.85,30993.98,0,0.009523809523809525,0.01434417926549989,0.0119
CERES,7,Theft,6,Theft:6; Hijack:1,August,Monday,0,83412.65,11916.09,0,0.01904761904761905,0.004483212348842352,0.0118
GREYTON,6,Theft,6,Theft:6,January,Saturday,3,183299.83,30549.97,0,0.009523809523809525,0.014088016362624895,0.0118
SONEIKE,7,Theft,6,Theft:6; Armed Robbery:1,March,Friday,3,82962.54,13827.09,1,0.01904761904761905,0.0044399313358570655,0.0117
IVYPARK,5,Theft,5,Theft:5,February,Monday,0,277894.01,55578.8,0,0.0,0.023183863895255896,0.0116
OR TAMBO INTERNATIONAL AIRPORT,7,Theft,7,Theft:7,February,Friday,12,80269.58,11467.08,0,0.01904761904761905,0.004180985663179593,0.0116
RAISETHORPE,5,Theft,5,Theft:5,December,Monday,13,277060.29,55412.06,0,0.0,0.02310369627812654,0.0116
WALMER ESTATE,6,Theft,6,Theft:6,August,Sunday,7,174144.55,29024.09,0,0.009523809523809525,0.013207676462236246,0.0114
NELSPRUIT 312-JT,6,Theft,6,Theft:6,June,Friday,23,166497.55,27749.59,0,0.009523809523809525,0.012472367523757903,0.011
THREE RIVERS EAST,5,Theft,5,Theft:5,December,Sunday,9,264813.39,52962.68,0,0.0,0.021926076945231236,0.011
VASCO ESTATE,6,Theft,6,Theft:6,May,Tuesday,14,164795.85,27465.98,0,0.009523809523809525,0.012308737966989421,0.0109
BIRCH ACRES,6,Theft,6,Theft:6,October,Wednesday,20,162705.34,27117.56,0,0.009523809523809525,0.012107721792152444,0.0108
ZINKWAZI BEACH,6,Theft,6,Theft:6,May,Wednesday,2,161204.49,26867.41,0,0.009523809523809525,0.011963405273214923,0.0107
THORNTON,6,Theft,6,Theft:6,November,Monday,2,157878.38,26313.06,0,0.009523809523809525,0.011643578097412361,0.0106
LINCOLN MEADE,5,Theft,4,Theft:4; Hijack:1,July,Sunday,7,254340.76,50868.15,0,0.0,0.020919065248045876,0.0105
GREENBURY,5,Theft,4,Theft:4; Burglary:1,April,Monday,11,254056.23,50811.25,0,0.0,0.02089170583229261,0.0104
RIVERTON,7,Theft,7,Theft:7,October,Saturday,20,52027.09,7432.44,0,0.01904761904761905,0.00146528599770487,0.0103
ORKNEY,6,Theft,6,Theft:6,September,Saturday,0,151015.33,25169.22,0,0.009523809523809525,0.010983651065867468,0.0103
FAIRVIEW,7,Theft,5,Theft:5; Armed Robbery:2,June,Wednesday,4,52756.96,8792.83,1,0.01904761904761905,0.0015354677598242881,0.0103
MONTCLAIR,6,Theft,4,Theft:4; Hijack:1; Armed Robbery:1,October,Saturday,8,148724.37,29744.87,1,0.009523809523809525,0.0107633603158091,0.0101
FAIRWAYS,5,Theft,5,Theft:5,May,Saturday,6,243082.54,48616.51,0,0.0,0.019836513947227824,0.0099
TASBET PARK,5,Theft,4,Theft:4; Burglary:1,December,Friday,6,242322.56,48464.51,0,0.0,0.01976343691217293,0.0099
FRAMESBY,6,Theft,6,Theft:6,June,Tuesday,2,140600.41,23433.4,0,0.009523809523809525,0.009982188561678002,0.0098
EDELWEISS,5,Theft,4,Theft:4; Burglary:1,February,Tuesday,8,240340.82,48068.16,0,0.0,0.019572879682443617,0.0098
BISHOPSCOURT,5,Theft,5,Theft:5,May,Thursday,6,237672.74,47534.55,0,0.0,0.019316326384081473,0.0097
LANGA,5,Theft,5,Theft:5,September,Thursday,17,237111.95,47422.39,0,0.0,0.019262402767027825,0.0096
HARTENBOS,6,Theft,6,Theft:6,December,Monday,8,136129.89,22688.32,0,0.009523809523809525,0.009552318898326858,0.0095
SOUTHGATE,5,Theft,5,Theft:5,February,Monday,14,225163.17,45032.63,0,0.0,0.01811344961704597,0.0091
BONNIE BRAE,6,Theft,6,Theft:6,February,Thursday,23,124780.97,20796.83,0,0.009523809523809525,0.008461046200788525,0.009
PLATTEKLOOF GLEN,6,Theft,6,Theft:6,June,Wednesday,3,125236.12,20872.69,0,0.009523809523809525,0.008504811842654409,0.009
BLUEWATER BAY,6,Theft,5,Theft:5; Burglary:1,January,Wednesday,22,119433.35,19905.56,0,0.009523809523809525,0.007946837650300026,0.0087
GLEN HILLS,6,Theft,5,Theft:5; Burglary:1,January,Friday,0,114153.81,19025.63,0,0.009523809523809525,0.0074391754359605525,0.0085
VINCENT HEIGHTS,6,Theft,6,Theft:6,October,Thursday,4,113620.14,18936.69,0,0.009523809523809525,0.007387859583835834,0.0085
LADYSMITH,5,Theft,5,Theft:5,June,Tuesday,10,208222.87,41644.57,0,0.0,0.016484529254746416,0.0082
KLERKSDORP CENTRAL,6,Theft,6,Theft:6,November,Saturday,2,107692.59,17948.76,0,0.009523809523809525,0.006817886980425698,0.0082
DUNNOTTAR,6,Theft,6,Theft:6,October,Thursday,2,101177.39,16862.9,0,0.009523809523809525,0.006191407995729203,0.0079
DE BRON,5,Theft,5,Theft:5,December,Tuesday,1,199663.18,39932.64,0,0.0,0.015661459218444116,0.0078
HILLBROW,5,Theft,4,Theft:4; Hijack:1,April,Saturday,14,196486.26,39297.25,0,0.0,0.015355977634446393,0.0077
WARNER BEACH,6,Theft,6,Theft:6,July,Thursday,17,96196.29,16032.71,0,0.009523809523809525,0.005712442734390839,0.0076
MAITLAND,5,Theft,4,Theft:4; Armed Robbery:1,June,Wednesday,11,194725.0,38945.0,0,0.0,0.015186620995112749,0.0076
MODJADJISKLOOF,5,Theft,5,Theft:5,October,Wednesday,17,190240.35,38048.07,0,0.0,0.0147553926400785,0.0074
LOCHNERHOF,6,Theft,6,Theft:6,November,Friday,16,89065.1,14844.18,0,0.009523809523809525,0.0050267322925198615,0.0073
TABLE MOUNTAIN (NATURE RESERVE),6,Theft,5,Theft:5; Attempted Theft:1,February,Sunday,7,87063.6,14510.6,0,0.009523809523809525,0.004834275009877727,0.0072
GANS BAY,6,Theft,6,Theft:6,June,Sunday,7,85290.7,14215.12,0,0.009523809523809525,0.00466379910860556,0.0071
WITKOPPEN,5,Theft,3,Theft:3; Accidental Loss:1; Burglary:1,September,Saturday,16,185304.82,37060.96,0,0.0,0.014280809231535541,0.0071
LOERIE PARK,5,Theft,5,Theft:5,February,Friday,9,179705.9,35941.18,0,0.0,0.013742436546583903,0.0069
WHITE RIVER AH,5,Theft,5,Theft:5,December,Wednesday,6,175373.17,35074.63,0,0.0,0.013325816290664818,0.0067
PARK HILL,6,Theft,6,Theft:6,January,Saturday,0,77417.63,12902.94,0,0.009523809523809525,0.003906752064762788,0.0067
PRETORIA GARDENS,5,Theft,5,Theft:5,January,Wednesday,18,169717.0,33943.4,0,0.0,0.012781938644718294,0.0064
SODWANA BAY NATIONAL PARK,5,Theft,5,Theft:5,March,Saturday,3,169977.87,33995.57,0,0.0,0.012807022997115423,0.0064
UMTENTWENI,5,Theft,5,Theft:5,February,Saturday,1,170104.84,34020.97,0,0.0,0.012819231990958576,0.0064
MARAISBURG,5,Theft,3,Theft:3; Hijack:2,March,Tuesday,4,167101.5,33420.3,0,0.0,0.012530441256384294,0.0063
COSMO CITY,5,Burglary,2,Burglary:2; Theft:2; Armed Robbery:1,July,Tuesday,2,166787.7,33357.54,0,0.0,0.01250026733917565,0.0063
WINDSOR,5,Theft,3,Theft:3; Hijack:1; Armed Robbery:1,October,Thursday,4,166972.89,55657.63,2,0.0,0.0125180745658419,0.0063
RYDALVALE,5,Theft,5,Theft:5,December,Sunday,21,164681.7,32936.34,0,0.0,0.012297761699783027,0.0061
KENTON-ON-SEA,5,Theft,5,Theft:5,November,Thursday,8,156027.3,31205.46,0,0.0,0.011465584679099493,0.0057
ARBORETUM,5,Theft,5,Theft:5,November,Saturday,17,150665.97,30133.19,0,0.0,0.010950057822667942,0.0055
SCOTTBURGH,5,Theft,5,Theft:5,January,Saturday,3,149393.88,29878.78,0,0.0,0.010827738070144217,0.0054
VREDENBURG,5,Theft,5,Theft:5,August,Wednesday,14,146016.74,29203.35,0,0.0,0.0105030040269256,0.0053
STILFONTEIN,6,Theft,5,Theft:5; Armed Robbery:1,October,Wednesday,4,48200.16,8033.36,0,0.009523809523809525,0.001097301711588626,0.0053
FARNINGHAM RIDGE,5,Theft,5,Theft:5,January,Friday,15,145872.7,29174.54,0,0.0,0.010489153641218997,0.0052
STELLENBOSCH FARMS,5,Theft,4,Theft:4; Attempted Theft:1,May,Wednesday,11,145530.55,29106.11,0,0.0,0.010456253686556987,0.0052
ADAMAYVIEW,6,Theft,6,Theft:6,December,Tuesday,10,40743.41,6790.57,0,0.009523809523809525,0.00038028655178760874,0.005
OUDTSHOORN,6,Theft,6,Theft:6,November,Sunday,6,36788.54,6131.42,0,0.009523809523809525,0.0,0.0048
MARBLE HALL,5,Theft,5,Theft:5,January,Monday,14,134172.71,26834.54,0,0.0,0.009364123272825216,0.0047
FARMS PORT ELIZABETH,5,Theft,4,Theft:4; Armed Robbery:1,November,Saturday,7,132489.01,26497.8,0,0.0,0.00920222453348744,0.0046
CASSELDALE,5,Theft,5,Theft:5,July,Sunday,5,131869.4,26373.88,0,0.0,0.009142644989696335,0.0046
BRACKENFELL NORTH,5,Theft,5,Theft:5,August,Saturday,9,126426.0,25285.2,0,0.0,0.008619226567346002,0.0043
BRYANSTON EAST,5,Theft,5,Theft:5,August,Monday,2,123191.34,24638.27,0,0.0,0.008308192905656665,0.0042
VELD EN VLEI,5,Theft,5,Theft:5,September,Sunday,3,122688.85,24537.77,0,0.0,0.008259875213948024,0.0041
MOUNT FRERE,5,Theft,5,Theft:5,November,Thursday,3,121786.61,24357.32,0,0.0,0.008173118951799117,0.0041
DULLSTROOM,5,Theft,5,Theft:5,July,Saturday,22,118833.66,23766.73,0,0.0,0.007889173544465571,0.0039
CENTURION,5,Theft,5,Theft:5,September,Saturday,15,112074.49,22414.9,0,0.0,0.007239235252626334,0.0036
WHITE RIVER,5,Theft,5,Theft:5,December,Monday,21,109805.87,21961.17,0,0.0,0.0070210926393125175,0.0035
HAMMANSKRAAL,5,Theft,5,Theft:5,April,Saturday,10,102665.56,20533.11,0,0.0,0.006334505249943315,0.0032
RAMSGATE,5,Theft,5,Theft:5,April,Monday,2,103920.05,20784.01,0,0.0,0.006455132647645905,0.0032
SALT RIVER,5,Theft,5,Theft:5,May,Friday,18,98410.24,19682.05,0,0.0,0.005925328470541504,0.003
KIRSTENHOF,5,Theft,5,Theft:5,March,Thursday,10,93085.52,18617.1,0,0.0,0.005413321904450958,0.0027
HATTON ESTATE,5,Theft,5,Theft:5,December,Saturday,2,91305.95,18261.19,0,0.0,0.005242204639164191,0.0026
VANDERBIJLPARK S. W. 1,5,Theft,5,Theft:5,November,Sunday,14,86334.95,17266.99,0,0.0,0.004764210558717501,0.0024
THE ORCHARDS,5,Theft,4,Theft:4; Hijack:1,February,Sunday,4,73965.76,14793.15,0,0.0,0.003574832244511024,0.0018
WOODHAVEN,5,Theft,5,Theft:5,November,Saturday,6,72860.04,14572.01,0,0.0,0.0034685100528732216,0.0017
HAZELDEAN,5,Theft,4,Theft:4; Burglary:1,March,Thursday,13,63485.36,12697.07,0,0.0,0.0025670734111347434,0.0013
SAND BAY,5,Theft,5,Theft:5,April,Tuesday,16,61271.81,12254.36,0,0.0,0.0023542261375936505,0.0012
DOOR DE KRAAL,5,Theft,5,Theft:5,August,Thursday,17,60465.7,12093.14,0,0.0,0.0022767134020899526,0.0011
BROADWOOD,5,Theft,5,Theft:5,November,Friday,5,58243.47,11648.69,0,0.0,0.0020630314899211643,0.001
KROONSTAD,5,Theft,5,Theft:5,April,Tuesday,2,57053.0,11410.6,0,0.0,0.0019485600328804538,0.001
NORTH END,5,Theft,5,Theft:5,February,Tuesday,18,56309.84,11261.97,0,0.0,0.001877100350558031,0.0009
ODENDAALSRUS,5,Theft,5,Theft:5,August,Thursday,19,55228.1,11045.62,0,0.0,0.0017730839923640255,0.0009
MOUILLE POINT,5,Theft,5,Theft:5,January,Wednesday,16,51849.75,10369.95,0,0.0,0.0014482335997514574,0.0007
BIRDSWOOD,5,Theft,5,Theft:5,October,Sunday,0,49355.65,9871.13,0,0.0,0.0012084096134223306,0.0006
PLATTEKLOOF 1,5,Theft,5,Theft:5,August,Wednesday,11,49265.71,9853.14,0,0.0,0.0011997612956602352,0.0006
DURMONTE,5,Theft,5,Theft:5,June,Thursday,2,46164.61,9232.92,0,0.0,0.0009015702993067389,0.0005
KLEINMOND,5,Theft,5,Theft:5,June,Thursday,18,40645.5,8129.1,0,0.0,0.0003708718665298061,0.0002
EAST LONDON CENTRAL,5,Theft,4,Theft:4; Armed Robbery:1,February,Friday,17,39655.15,7931.03,0,0.0,0.00027564325305759143,0.0001
