SUBURB,month,predicted_incidents,actual_incidents,absolute_error
HELDERKRUIN,2025-10,1.43,1,0.43
HELDERKRUIN,2026-01,1.44,1,0.44
HENLEY ON KLIP,2026-04,1.23,1,0.23
HENNOPSPARK,2026-03,0.87,1,0.13
HENNOPSPARK,2026-04,0.82,1,0.18
HENNOPSPARK,2026-05,0.78,1,0.22
HERMANUS,2024-12,0.88,1,0.12
HERMANUS,2025-01,0.86,1,0.14
HERMANUS,2025-03,0.83,1,0.17
HIGHVELD,2025-08,0.87,1,0.13
HIGHVELD,2025-10,0.84,2,1.16
HILLCREST,2025-10,1.17,1,0.17
HILLCREST,2025-11,1.13,1,0.13
HILLCREST,2026-02,1.09,1,0.09
HONEYDEW,2025-04,1.36,2,0.64
HONEYDEW,2025-07,1.41,1,0.41
HOUGHTON ESTATE,2025-11,0.78,1,0.22
HOUGHTON ESTATE,2026-01,0.71,1,0.29
HOUGHTON ESTATE,2026-05,0.64,1,0.36
HOUT BAY,2025-10,0.88,1,0.12
HOUT BAY,2026-01,0.84,1,0.16
HOUT BAY,2026-02,0.81,1,0.19
HURLINGHAM,2025-08,1.11,1,0.11
ILLOVO,2025-12,1.1,1,0.1
ILLOVO,2026-01,1.1,1,0.1
ILLOVO,2026-04,1.1,1,0.1
JOHANNESBURG,2025-10,2.3,2,0.3
JOHANNESBURG,2025-12,2.3,2,0.3
JOHANNESBURG,2026-01,2.3,4,1.7
JOHANNESBURG,2026-02,2.3,4,1.7
JOHANNESBURG,2026-03,2.3,1,1.3
JOHANNESBURG,2026-04,2.3,3,0.7
KELVIN,2025-08,0.94,1,0.06
KEMPTON PARK,2026-03,0.93,2,1.07
KEMPTON PARK,2026-06,0.85,1,0.15
KENILWORTH,2025-06,1.62,1,0.62
KENILWORTH,2025-12,1.64,1,0.64
KENSINGTON,2025-10,1.08,1,0.08
KENSINGTON,2026-01,1.06,1,0.06
KENSINGTON,2026-03,1.04,2,0.96
KENSINGTON,2026-04,1.02,1,0.02
KEW,2025-11,1.0,1,0.0
KEW,2026-02,1.0,1,0.0
KIMBERLEY,2025-04,1.0,1,0.0
KIMBERLEY,2025-07,1.0,1,0.0
KLOOF,2025-09,1.07,1,0.07
KLOOF,2025-12,1.01,1,0.01
KLOOF,2026-02,0.96,1,0.04
KNYSNA,2026-05,1.38,1,0.38
KRAAIFONTEIN,2026-02,1.11,2,0.89
KRUGERSDORP,2025-09,1.37,1,0.37
KRUGERSDORP,2025-10,1.36,1,0.36
KRUGERSDORP,2026-01,1.35,1,0.35
KRUGERSDORP NORTH,2025-06,1.0,1,0.0
KRUGERSDORP NORTH,2025-11,1.0,1,0.0
KUILS RIVER,2026-02,1.19,1,0.19
KUILS RIVER,2026-03,1.18,5,3.82
KUILS RIVER,2026-06,1.16,1,0.16
KYALAMI AH,2026-02,0.77,1,0.23
KYALAMI AH,2026-03,0.71,1,0.29
LANGEBAAN,2025-08,1.31,1,0.31
LANGEBAAN,2025-09,1.31,1,0.31
LENASIA,2026-04,1.13,1,0.13
LINDEN,2025-12,1.18,1,0.18
LINDEN,2026-03,1.18,1,0.18
LINDEN,2026-04,1.18,2,0.82
LINDEN,2026-05,1.17,1,0.17
LITTLE FALLS,2026-03,1.49,1,0.49
LONE HILL,2026-02,0.98,1,0.02
LONE HILL,2026-06,0.94,1,0.06
LORRAINE,2026-04,1.18,2,0.82
LYNNWOOD,2026-02,1.25,1,0.25
LYNNWOOD,2026-05,1.23,1,0.23
LYNNWOOD RIDGE,2026-01,1.2,1,0.2
LYNNWOOD RIDGE,2026-03,1.22,1,0.22
LYTTELTON MANOR,2026-06,1.45,1,0.45
MALVERN,2025-09,0.91,1,0.09
MALVERN,2026-03,0.86,1,0.14
MARLBORO,2026-01,0.92,1,0.08
MARLBORO,2026-06,0.9,2,1.1
MBOMBELA,2026-01,1.52,1,0.52
MELVILLE,2025-12,1.32,1,0.32
MELVILLE,2026-06,1.32,1,0.32
MENLO PARK,2025-11,1.66,1,0.66
MENLO PARK,2026-04,1.67,1,0.67
MENLO PARK,2026-05,1.69,1,0.69
MENLYN,2025-11,1.37,1,0.37
MENLYN,2025-12,1.39,2,0.61
MENLYN,2026-02,1.41,2,0.59
MENLYN,2026-03,1.42,1,0.42
MENLYN,2026-04,1.44,1,0.44
MEYERSPARK,2025-08,1.09,1,0.09
MEYERTON,2025-11,1.45,1,0.45
MEYERTON,2026-03,1.49,2,0.51
MEYERTON,2026-04,1.52,1,0.52
MIDDELBURG,2025-07,0.81,1,0.19
MIDDELBURG,2025-09,0.74,1,0.26
MIDDELBURG,2025-10,0.66,1,0.34
MIDSTREAM ESTATE,2026-04,1.0,1,0.0
MILNERTON,2025-11,1.4,1,0.4
MILNERTON,2025-12,1.4,1,0.4
MILNERTON,2026-05,1.41,2,0.59
MOKOPANE,2025-12,1.11,1,0.11
MONDEOR,2024-12,1.04,2,0.96
MONDEOR,2025-01,1.01,2,0.99
MONDEOR,2025-04,0.99,1,0.01
MONTANA,2026-02,1.3,1,0.3
MONTANA,2026-05,1.3,2,0.7
MONUMENT PARK,2025-07,1.42,2,0.58
MONUMENT PARK,2025-08,1.46,1,0.46
MONUMENT PARK,2025-09,1.5,1,0.5
MONUMENT PARK,2025-11,1.54,1,0.54
MORELETAPARK,2025-10,2.1,1,1.1
MORELETAPARK,2026-01,2.14,1,1.14
MORELETAPARK,2026-03,2.17,1,1.17
MORNINGSIDE,2025-12,1.32,1,0.32
MORNINGSIDE,2026-01,1.29,1,0.29
MORNINGSIDE,2026-04,1.26,1,0.26
MORNINGSIDE,2026-06,1.23,1,0.23
MOSSEL BAY,2026-05,1.13,1,0.13
MOWBRAY,2025-08,1.55,2,0.45
MOWBRAY,2025-10,1.57,1,0.57
MOWBRAY,2026-01,1.6,2,0.4
MUIZENBERG,2025-12,1.16,1,0.16
MUIZENBERG,2026-04,1.15,1,0.15
MUIZENBERG,2026-05,1.13,3,1.87
MULBARTON,2025-12,1.04,2,0.96
MUSGRAVE,2025-07,1.21,1,0.21
NEWLANDS,2026-03,2.4,1,1.4
NEWLANDS,2026-04,2.42,1,1.42
NEWLANDS,2026-05,2.44,1,1.44
NIEUW MUCKLENEUK,2024-05,0.88,1,0.12
NIEUW MUCKLENEUK,2024-07,0.85,1,0.15
NOORDHEUWEL,2025-11,1.53,1,0.53
NOORDHEUWEL,2025-12,1.52,1,0.52
NOORDHEUWEL,2026-02,1.51,2,0.49
NOORDHEUWEL,2026-03,1.5,1,0.5
NOORDHEUWEL,2026-04,1.49,1,0.49
NOORDHEUWEL,2026-05,1.48,1,0.48
NOORDWYK,2025-07,1.28,2,0.72
NOORDWYK,2025-09,1.28,1,0.28
NOORDWYK,2026-01,1.28,1,0.28
NORTH RIDING,2025-09,1.06,1,0.06
NORTH RIDING,2025-10,1.02,1,0.02
NORTH RIDING,2026-01,0.98,1,0.02
NORTHMEAD,2026-06,1.2,1,0.2
NORTHOME CONTENTSLIFF,2025-05,1.57,1,0.57
NORTHOME CONTENTSLIFF,2025-07,1.59,2,0.41
NORTHOME CONTENTSLIFF,2025-08,1.61,2,0.39
NORTHOME CONTENTSLIFF,2025-09,1.62,1,0.62
NORTHOME CONTENTSLIFF,2025-10,1.64,2,0.36
NORTHWOLD,2025-11,1.0,1,0.0
NORTHWOLD,2026-01,1.0,1,0.0
NORWOOD,2025-09,1.14,1,0.14
NORWOOD,2025-11,1.12,2,0.88
NORWOOD,2025-12,1.11,1,0.11
NORWOOD,2026-01,1.09,1,0.09
OBSERVATORY,2025-12,1.63,3,1.37
OBSERVATORY,2026-01,1.61,1,0.61
OBSERVATORY,2026-02,1.59,2,0.41
OBSERVATORY,2026-03,1.57,2,0.43
